Customer_ID,Customer_Name,Region,State,Signup_Date
C100000,Customer_0,South,KA,2023-02-23
C100001,Customer_1,Central,UP,2021-11-15
C100002,Customer_2,West,RJ,2023-04-24
C100003,Customer_3,East,KA,2022-09-13
C100004,Customer_4,North,WB,2023-02-24
C100005,Customer_5,North,TN,2024-04-06
C100006,Customer_6,North,GJ,2022-02-01
C100007,Customer_7,Central,GJ,2024-04-18
C100008,Customer_8,East,RJ,2023-12-18
C100009,Customer_9,West,GJ,2022-04-05
C100010,Customer_10,North,KA,2021-03-02
C100011,Customer_11,Central,KL,2022-01-04
C100012,Customer_12,Central,GJ,2024-02-19
C100013,Customer_13,North,RJ,2022-12-20
C100014,Customer_14,North,GJ,2022-06-30
C100015,Customer_15,North,GJ,2023-11-07
C100016,Customer_16,South,PB,2022-05-11
C100017,Customer_17,East,KA,2022-05-12
C100018,Customer_18,East,WB,2022-05-20
C100019,Customer_19,South,MH,2023-08-27
C100020,Customer_20,East,KL,2024-08-31
C100021,Customer_21,North,GJ,2023-12-29
C100022,Customer_22,South,UP,2021-06-10
C100023,Customer_23,South,GJ,2022-12-19
C100024,Customer_24,East,PB,2024-03-14
C100025,Customer_25,West,WB,2023-09-20
C100026,Customer_26,North,UP,2024-11-09
C100027,Customer_27,East,KL,2021-09-26
C100028,Customer_28,East,UP,2022-11-30
C100029,Customer_29,North,KA,2023-05-15
C100030,Customer_30,East,RJ,2021-12-16
C100031,Customer_31,North,RJ,2021-04-20
C100032,Customer_32,North,KL,2022-02-11
C100033,Customer_33,Central,WB,2022-10-12
C100034,Customer_34,Central,RJ,2021-02-20
C100035,Customer_35,West,DL,2024-11-27
C100036,Customer_36,South,PB,2024-01-16
C100037,Customer_37,North,KL,2023-12-28
C100038,Customer_38,West,KL,2022-08-19
C100039,Customer_39,East,MH,2023-09-06
C100040,Customer_40,North,MH,2023-12-02
C100041,Customer_41,East,KA,2023-01-01
C100042,Customer_42,North,KA,2021-02-26
C100043,Customer_43,Central,MH,2023-01-08
C100044,Customer_44,South,RJ,2021-07-15
C100045,Customer_45,West,TN,2023-12-22
C100046,Customer_46,South,KL,2024-07-10
C100047,Customer_47,East,DL,2021-04-22
C100048,Customer_48,East,KL,2023-02-04
C100049,Customer_49,North,GJ,2022-12-12
C100050,Customer_50,Central,WB,2024-04-16
C100051,Customer_51,West,PB,2023-08-06
C100052,Customer_52,Central,TN,2021-01-26
C100053,Customer_53,Central,DL,2022-02-14
C100054,Customer_54,East,GJ,2023-01-28
C100055,Customer_55,Central,KA,2022-06-15
C100056,Customer_56,North,DL,2024-09-02
C100057,Customer_57,North,MH,2024-02-04
C100058,Customer_58,North,KL,2023-01-19
C100059,Customer_59,South,DL,2021-09-03
C100060,Customer_60,South,WB,2024-01-10
C100061,Customer_61,South,UP,2022-10-24
C100062,Customer_62,Central,KA,2023-06-28
C100063,Customer_63,South,PB,2022-01-31
C100064,Customer_64,South,PB,2022-06-06
C100065,Customer_65,East,DL,2023-07-15
C100066,Customer_66,North,UP,2021-09-21
C100067,Customer_67,West,KL,2023-03-01
C100068,Customer_68,North,GJ,2024-07-21
C100069,Customer_69,Central,TN,2021-06-21
C100070,Customer_70,West,KL,2021-09-22
C100071,Customer_71,North,GJ,2023-11-16
